data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
22/03/2023;15:40:00;147;AC02-ACIDENTE COM VÍTIMA;897,1;BR-163/MT;Norte;Colisão Traseira;1;;1;;;;;;;;1;1;;;
22/03/2023;16:48:00;160;AC01-ACIDENTE COM VÍTIMA FATAL;1043;BR-163/MT;Norte;Saida de Pista;;;;1;;;;;;;0;;;;1
22/03/2023;22:03:00;191;AC02-ACIDENTE COM VÍTIMA;10,238;BR-163/PA;Sul;Colisão Traseira;;;2;;;;;;;;1;1;;;
23/03/2023;03:19:00;17;AC02-ACIDENTE COM VÍTIMA;330,344;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
23/03/2023;07:36:00;33;AC03-ACIDENTE SEM VÍTIMA;326;BR-163/PA;Norte;Colisão Traseira;;;2;;;1;;;;;3;;;;
23/03/2023;11:14:00;102;AC02-ACIDENTE COM VÍTIMA;1064;BR-163/MT;Sul;Queda de Moto;;;;1;;;;;;;0;1;;;
23/03/2023;13:39:00;121;AC02-ACIDENTE COM VÍTIMA;4;BR-163/PA;Sul;Saida de Pista;;;;;;;;;;1;0;1;;;
23/03/2023;15:32:00;128;AC02-ACIDENTE COM VÍTIMA;1046,26;BR-163/MT;Sul;Saida de Pista;1;;;;;;;;;;0;1;;;
24/03/2023;05:49:00;17;AC02-ACIDENTE COM VÍTIMA;660,271;BR-163/PA;Norte;Colisão Lateral;;;2;;;;;;;;0;2;;;
24/03/2023;13:28:00;125;AC01-ACIDENTE COM VÍTIMA FATAL;665,77;BR-163/PA;Sul;Colisão Lateral;;;1;1;;1;;;;;0;2;;2;1
24/03/2023;15:30:00;153;AC02-ACIDENTE COM VÍTIMA;1110,6;BR-163/MT;Sul;Saida de Pista;;;1;;;2;;;;;2;2;;;
24/03/2023;18:51:00;170;AC02-ACIDENTE COM VÍTIMA;157;BR-163/PA;Norte;Colisão Transversal;;;;1;;1;;;;;1;2;;;
25/03/2023;00:46:00;7;AC02-ACIDENTE COM VÍTIMA;666;BR-163/PA;Sul;Tombamento;;;1;;;;;;;;0;;1;;
25/03/2023;03:34:00;17;AC02-ACIDENTE COM VÍTIMA;600;BR-163/PA;Sul;Tombamento;;;1;;;;;;;;0;1;;;
25/03/2023;07:23:00;39;AC03-ACIDENTE SEM VÍTIMA;876,805;BR-163/MT;Norte;Tombamento;;;1;;;2;;;;;3;;;;
25/03/2023;08:09:00;48;AC03-ACIDENTE SEM VÍTIMA;547,254;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;3;;;;
25/03/2023;13:20:00;122;AC02-ACIDENTE COM VÍTIMA;1110,195;BR-163/MT;Norte;Tombamento;;;1;;;2;;;;;2;;;1;
25/03/2023;19:46:00;188;AC03-ACIDENTE SEM VÍTIMA;318,654;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;3;;;;
25/03/2023;22:04:00;201;AC02-ACIDENTE COM VÍTIMA;1112;BR-230/PA;Leste;Queda de Moto;;;;1;;;;;;;0;2;;;
25/03/2023;23:51:00;218;AC02-ACIDENTE COM VÍTIMA;34;BR-163/PA;Sul;Choque - Veiculo parado na pista;;;2;;;;;;;;1;3;;;
26/03/2023;09:01:00;54;AC02-ACIDENTE COM VÍTIMA;263,34;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
26/03/2023;09:11:00;56;AC03-ACIDENTE SEM VÍTIMA;947,223;BR-163/MT;Norte;Tombamento;;;1;;;;;;;;1;;;;
26/03/2023;11:28:00;83;AC02-ACIDENTE COM VÍTIMA;591,42;BR-163/PA;Norte;Tombamento;;;1;;;1;;;;;1;1;;;
26/03/2023;16:13:00;121;AC02-ACIDENTE COM VÍTIMA;1109;BR-163/MT;Sul;Colisão Lateral;;;2;;;;;;;;1;1;;;
26/03/2023;22:23:00;154;AC02-ACIDENTE COM VÍTIMA;993;BR-163/MT;Norte;Choque - Veiculo parado no acostamento;;;1;1;;;;;;;1;1;;;
27/03/2023;11:43:00;92;AC02-ACIDENTE COM VÍTIMA;104,165;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;2;;;
27/03/2023;13:30:00;99;AC02-ACIDENTE COM VÍTIMA;636,095;BR-163/PA;Norte;Colisão Traseira;;;1;;;2;;;;1;3;2;;;
27/03/2023;17:03:00;127;AC02-ACIDENTE COM VÍTIMA;972;BR-163/MT;Norte;Colisão Lateral;1;;1;;;;;;;;0;2;;;
